Seed:,Runtime:,Reward of Final Program:,Final program:
1,106.73806800000057,0.75,DEF run m( REPEAT R=10 r( WHILE c( frontIsClear c) w( move w) turnRight r) WHILE c( leftIsClear c) w( move w) m)
2,104.46812499999942,0.375,DEF run m( WHILE c( markersPresent c) w( turnRight putMarker w) turnLeft WHILE c( frontIsClear c) w( move w) m)
3,105.3553979999997,0.375,DEF run m( IFELSE c( frontIsClear c) i( turnLeft i) ELSE e( move turnRight e) WHILE c( frontIsClear c) w( move w) WHILE c( markersPresent c) w( turnRight w) m)
4,105.50199299999986,0.375,DEF run m( REPEAT R=1 r( IFELSE c( frontIsClear c) i( turnLeft i) ELSE e( turnRight e) r) WHILE c( frontIsClear c) w( move w) m)
5,107.06372899999951,0.375,DEF run m( turnLeft WHILE c( noMarkersPresent c) w( move w) turnRight move WHILE c( not c( markersPresent c) c) w( move w) move m)
6,106.58715999999913,0.4375,DEF run m( REPEAT R=7 r( WHILE c( frontIsClear c) w( turnLeft w) turnRight move r) m)
7,107.90814000000137,0.375,DEF run m( turnLeft move WHILE c( frontIsClear c) w( move w) turnLeft move m)
8,105.95144900000014,0.5625,DEF run m( REPEAT R=5 r( WHILE c( frontIsClear c) w( move w) turnRight r) m)
9,104.02703699999984,0.375,DEF run m( REPEAT R=7 r( turnRight r) move WHILE c( noMarkersPresent c) w( move w) m)
10,108.49529299999995,0.375,DEF run m( turnLeft WHILE c( noMarkersPresent c) w( putMarker move w) m)
11,105.03100199999972,0.375,DEF run m( REPEAT R=1 r( turnLeft r) putMarker WHILE c( frontIsClear c) w( move w) turnLeft m)
12,108.4217349999999,0.375,DEF run m( WHILE c( rightIsClear c) w( move w) turnLeft IF c( not c( frontIsClear c) c) i( move i) WHILE c( frontIsClear c) w( move w) m)
13,108.21803799999907,0.375,DEF run m( turnLeft WHILE c( noMarkersPresent c) w( move w) IFELSE c( frontIsClear c) i( putMarker i) ELSE e( move e) m)
14,105.45031400000153,0.375,DEF run m( turnLeft move WHILE c( noMarkersPresent c) w( move w) WHILE c( markersPresent c) w( move turnRight w) m)
15,106.48113199999898,0.375,DEF run m( IFELSE c( leftIsClear c) i( turnLeft move i) ELSE e( REPEAT R=4 r( move r) e) WHILE c( noMarkersPresent c) w( move w) m)
16,106.31539100000009,0.375,DEF run m( IFELSE c( rightIsClear c) i( move i) ELSE e( turnLeft e) move WHILE c( frontIsClear c) w( move w) putMarker m)
17,107.90267499999936,0.375,DEF run m( turnLeft WHILE c( leftIsClear c) w( turnRight w) WHILE c( frontIsClear c) w( move w) m)
18,106.09688300000016,0.625,DEF run m( WHILE c( noMarkersPresent c) w( IF c( leftIsClear c) i( turnLeft i) move turnRight w) m)
19,104.42396899999949,0.375,DEF run m( REPEAT R=7 r( putMarker r) turnLeft WHILE c( frontIsClear c) w( move w) m)
20,104.40159700000004,0.375,DEF run m( turnLeft move IF c( leftIsClear c) i( putMarker i) move WHILE c( noMarkersPresent c) w( move w) m)
