Seed:,Runtime:,Reward of Final Program:,Final program:
1,53.029012000000876,0.75,DEF run m( REPEAT R=10 r( WHILE c( frontIsClear c) w( move w) turnRight r) WHILE c( leftIsClear c) w( move w) m)
2,52.18041400000038,0.375,DEF run m( WHILE c( markersPresent c) w( turnRight putMarker w) turnLeft WHILE c( frontIsClear c) w( move w) m)
3,53.67816099999982,0.375,DEF run m( IFELSE c( frontIsClear c) i( turnLeft i) ELSE e( move turnRight e) WHILE c( frontIsClear c) w( move w) WHILE c( markersPresent c) w( turnRight w) m)
4,52.93057599999884,0.375,DEF run m( REPEAT R=1 r( IFELSE c( frontIsClear c) i( turnLeft i) ELSE e( turnRight e) r) WHILE c( frontIsClear c) w( move w) m)
5,53.08284999999887,0.375,DEF run m( turnLeft WHILE c( noMarkersPresent c) w( move w) turnRight move WHILE c( not c( markersPresent c) c) w( move w) move m)
6,54.37666999999965,0.4375,DEF run m( REPEAT R=7 r( WHILE c( frontIsClear c) w( turnLeft w) turnRight move r) m)
7,55.49991399999999,0.375,DEF run m( turnLeft move WHILE c( frontIsClear c) w( move w) turnLeft move m)
8,54.157790999999634,0.5625,DEF run m( REPEAT R=5 r( WHILE c( frontIsClear c) w( move w) turnRight r) m)
9,52.36756200000127,0.375,DEF run m( REPEAT R=7 r( turnRight r) move WHILE c( noMarkersPresent c) w( move w) m)
10,55.90450199999941,0.375,DEF run m( turnLeft WHILE c( noMarkersPresent c) w( putMarker move w) m)
11,53.67906699999912,0.375,DEF run m( REPEAT R=1 r( turnLeft r) putMarker WHILE c( frontIsClear c) w( move w) turnLeft m)
12,55.63052200000129,0.375,DEF run m( WHILE c( rightIsClear c) w( move w) turnLeft IF c( not c( frontIsClear c) c) i( move i) WHILE c( frontIsClear c) w( move w) m)
13,54.962085999999545,0.375,DEF run m( turnLeft WHILE c( noMarkersPresent c) w( move w) IFELSE c( frontIsClear c) i( putMarker i) ELSE e( move e) m)
14,53.29298999999992,0.375,DEF run m( turnLeft move WHILE c( noMarkersPresent c) w( move w) WHILE c( markersPresent c) w( move turnRight w) m)
15,54.403935000000274,0.375,DEF run m( IFELSE c( leftIsClear c) i( turnLeft move i) ELSE e( REPEAT R=4 r( move r) e) WHILE c( noMarkersPresent c) w( move w) m)
16,54.94281200000114,0.375,DEF run m( IFELSE c( rightIsClear c) i( move i) ELSE e( turnLeft e) move WHILE c( frontIsClear c) w( move w) putMarker m)
17,54.81004899999971,0.375,DEF run m( turnLeft WHILE c( leftIsClear c) w( turnRight w) WHILE c( frontIsClear c) w( move w) m)
18,52.76394900000014,0.625,DEF run m( WHILE c( noMarkersPresent c) w( IF c( leftIsClear c) i( turnLeft i) move turnRight w) m)
19,52.62842600000113,0.375,DEF run m( REPEAT R=7 r( putMarker r) turnLeft WHILE c( frontIsClear c) w( move w) m)
20,53.30832399999963,0.375,DEF run m( turnLeft move IF c( leftIsClear c) i( putMarker i) move WHILE c( noMarkersPresent c) w( move w) m)
