Seed:,Runtime:,Reward of Final Program:,Final program:
1,140.44802600000003,0.0625,DEF run m( IFELSE c( frontIsClear c) i( turnLeft move i) ELSE e( move e) WHILE c( frontIsClear c) w( move w) m)
2,129.11348700000053,0.0625,DEF run m( WHILE c( markersPresent c) w( turnRight putMarker w) turnLeft WHILE c( frontIsClear c) w( move w) m)
3,131.5562829999999,0.0625,DEF run m( REPEAT R=2 r( WHILE c( leftIsClear c) w( turnLeft w) move turnRight r) m)
4,128.33225000000039,0.0625,DEF run m( REPEAT R=1 r( IFELSE c( frontIsClear c) i( turnLeft i) ELSE e( turnRight e) r) WHILE c( frontIsClear c) w( move w) m)
5,128.61121599999933,0.0625,DEF run m( turnLeft WHILE c( noMarkersPresent c) w( move w) turnRight move WHILE c( not c( markersPresent c) c) w( move w) move m)
6,127.62368700000025,0.0625,DEF run m( turnLeft move turnRight turnLeft move m)
7,128.94174600000042,0.0625,DEF run m( turnLeft move WHILE c( frontIsClear c) w( move w) turnLeft move m)
8,127.5973100000001,0.0625,DEF run m( REPEAT R=7 r( turnLeft move turnRight r) m)
9,126.11139699999967,0.0625,DEF run m( IFELSE c( frontIsClear c) i( turnLeft move i) ELSE e( IF c( leftIsClear c) i( turnRight i) e) move m)
10,125.54269999999997,0.0625,DEF run m( turnLeft move IF c( frontIsClear c) i( move i) REPEAT R=6 r( putMarker r) m)
11,129.06153899999936,0.0625,DEF run m( WHILE c( frontIsClear c) w( turnLeft w) turnRight IF c( not c( leftIsClear c) c) i( move move i) m)
12,127.42262500000015,0.125,DEF run m( turnLeft move WHILE c( markersPresent c) w( turnLeft w) move turnRight WHILE c( noMarkersPresent c) w( move w) m)
13,129.1836170000006,0.0625,DEF run m( turnLeft move IFELSE c( leftIsClear c) i( move WHILE c( rightIsClear c) w( move w) i) ELSE e( move e) m)
14,130.64987399999973,0.0625,DEF run m( IFELSE c( frontIsClear c) i( turnLeft move i) ELSE e( move e) putMarker move IF c( leftIsClear c) i( move i) m)
15,128.02129100000002,0.0625,DEF run m( REPEAT R=6 r( turnLeft move putMarker IF c( frontIsClear c) i( move i) r) m)
16,125.00068399999964,0.0625,DEF run m( IFELSE c( rightIsClear c) i( move i) ELSE e( turnLeft e) move WHILE c( frontIsClear c) w( move w) putMarker m)
17,126.64005200000065,0.0625,DEF run m( REPEAT R=2 r( WHILE c( leftIsClear c) w( turnLeft w) REPEAT R=1 r( move r) r) m)
18,128.53434199999992,0.0625,DEF run m( IFELSE c( leftIsClear c) i( turnLeft move i) ELSE e( turnRight e) move putMarker m)
19,127.78912500000024,0.0625,DEF run m( REPEAT R=7 r( putMarker r) turnLeft WHILE c( frontIsClear c) w( move w) m)
20,128.43869199999972,0.0625,DEF run m( turnLeft move IF c( leftIsClear c) i( putMarker i) move WHILE c( noMarkersPresent c) w( move w) m)
