Seed:,Runtime:,Reward of Final Program:,Final program:
1,88.41902699999991,0.0625,DEF run m( IFELSE c( frontIsClear c) i( turnLeft move i) ELSE e( move e) WHILE c( frontIsClear c) w( move w) m)
2,76.95035199999995,0.0625,DEF run m( WHILE c( markersPresent c) w( turnRight putMarker w) turnLeft WHILE c( frontIsClear c) w( move w) m)
3,81.60680400000001,0.0625,DEF run m( REPEAT R=2 r( WHILE c( leftIsClear c) w( turnLeft w) move turnRight r) m)
4,76.88609299999996,0.0625,DEF run m( REPEAT R=1 r( IFELSE c( frontIsClear c) i( turnLeft i) ELSE e( turnRight e) r) WHILE c( frontIsClear c) w( move w) m)
5,76.90294999999992,0.0625,DEF run m( turnLeft WHILE c( noMarkersPresent c) w( move w) turnRight move WHILE c( not c( markersPresent c) c) w( move w) move m)
6,76.83709599999997,0.0625,DEF run m( turnLeft move turnRight turnLeft move m)
7,77.51142900000002,0.0625,DEF run m( turnLeft move WHILE c( frontIsClear c) w( move w) turnLeft move m)
8,77.42670199999998,0.0625,DEF run m( REPEAT R=7 r( turnLeft move turnRight r) m)
9,76.84459700000002,0.0625,DEF run m( IFELSE c( frontIsClear c) i( turnLeft move i) ELSE e( IF c( leftIsClear c) i( turnRight i) e) move m)
10,76.39068399999996,0.0625,DEF run m( turnLeft move IF c( frontIsClear c) i( move i) REPEAT R=6 r( putMarker r) m)
11,77.7356729999999,0.0625,DEF run m( WHILE c( frontIsClear c) w( turnLeft w) turnRight IF c( not c( leftIsClear c) c) i( move move i) m)
12,77.70856500000014,0.125,DEF run m( turnLeft move WHILE c( markersPresent c) w( turnLeft w) move turnRight WHILE c( noMarkersPresent c) w( move w) m)
13,78.126035,0.0625,DEF run m( turnLeft move IFELSE c( leftIsClear c) i( move WHILE c( rightIsClear c) w( move w) i) ELSE e( move e) m)
14,78.60056299999997,0.0625,DEF run m( IFELSE c( frontIsClear c) i( turnLeft move i) ELSE e( move e) putMarker move IF c( leftIsClear c) i( move i) m)
15,77.93122399999993,0.0625,DEF run m( REPEAT R=6 r( turnLeft move putMarker IF c( frontIsClear c) i( move i) r) m)
16,76.01642600000014,0.0625,DEF run m( IFELSE c( rightIsClear c) i( move i) ELSE e( turnLeft e) move WHILE c( frontIsClear c) w( move w) putMarker m)
17,77.14923099999987,0.0625,DEF run m( REPEAT R=2 r( WHILE c( leftIsClear c) w( turnLeft w) REPEAT R=1 r( move r) r) m)
18,77.46394299999997,0.0625,DEF run m( IFELSE c( leftIsClear c) i( turnLeft move i) ELSE e( turnRight e) move putMarker m)
19,78.41050199999995,0.0625,DEF run m( REPEAT R=7 r( putMarker r) turnLeft WHILE c( frontIsClear c) w( move w) m)
20,77.17541700000015,0.0625,DEF run m( turnLeft move IF c( leftIsClear c) i( putMarker i) move WHILE c( noMarkersPresent c) w( move w) m)
