Seed:,Runtime:,Reward of Final Program:,Final program:
1,128.6483130000006,0.125,DEF run m( REPEAT R=10 r( WHILE c( frontIsClear c) w( move w) turnRight r) WHILE c( leftIsClear c) w( move w) m)
2,128.1509759999999,0.125,DEF run m( move move turnLeft move move turnRight move move turnLeft move move m)
3,129.926332,0.0625,DEF run m( REPEAT R=2 r( putMarker move r) turnRight move turnLeft m)
4,126.66636900000049,0.125,DEF run m( putMarker move move move move turnLeft move move move putMarker move move move turnLeft move move m)
5,127.52664400000049,0.0625,DEF run m( move WHILE c( leftIsClear c) w( turnLeft w) REPEAT R=3 r( IF c( rightIsClear c) i( turnLeft i) r) m)
6,129.59439700000075,0.0625,DEF run m( WHILE c( noMarkersPresent c) w( move w) turnRight IF c( leftIsClear c) i( turnLeft move i) m)
7,126.81912999999986,0.1875,DEF run m( move move turnLeft move move turnRight move move turnLeft move move turnRight move move m)
8,128.54680499999995,0.125,DEF run m( REPEAT R=5 r( WHILE c( frontIsClear c) w( move w) turnRight r) m)
9,126.29352300000028,0.0625,DEF run m( IF c( noMarkersPresent c) i( move turnRight turnLeft i) move turnRight m)
10,128.11631899999975,0.125,DEF run m( move move turnLeft REPEAT R=0 r( putMarker r) move move turnRight move IF c( rightIsClear c) i( move i) IF c( frontIsClear c) i( move i) turnRight move move m)
11,127.06268099999943,0.1875,DEF run m( move move turnLeft move move turnRight move move move move move move move move move move move move move move m)
12,126.59205900000052,0.125,DEF run m( move move turnLeft move move turnRight move move m)
13,151.3080289999998,0.125,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) WHILE c( frontIsClear c) w( turnRight turnRight w) m)
14,152.1260659999998,0.125,DEF run m( REPEAT R=4 r( WHILE c( frontIsClear c) w( move w) turnRight r) m)
15,128.92828499999996,0.125,DEF run m( WHILE c( frontIsClear c) w( move move REPEAT R=10 r( turnRight WHILE c( rightIsClear c) w( turnRight w) WHILE c( rightIsClear c) w( turnRight w) move turnRight r) w) m)
16,125.85250899999937,0.0625,DEF run m( IF c( rightIsClear c) i( move turnRight i) move REPEAT R=1 r( move move putMarker r) m)
17,128.00550500000008,0.0625,DEF run m( WHILE c( frontIsClear c) w( move w) WHILE c( not c( frontIsClear c) c) w( turnLeft w) move move m)
18,128.00371199999972,0.125,DEF run m( REPEAT R=10 r( turnRight WHILE c( frontIsClear c) w( move turnLeft w) r) m)
19,126.7353320000002,0.0625,DEF run m( IF c( not c( frontIsClear c) c) i( move i) REPEAT R=1 r( WHILE c( leftIsClear c) w( move w) r) m)
20,128.97849700000006,0.0625,DEF run m( move turnRight IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) WHILE c( rightIsClear c) w( turnRight w) m)
