Seed:,Runtime:,Reward of Final Program:,Final program:
1,102.20762300000024,0.125,DEF run m( REPEAT R=10 r( WHILE c( frontIsClear c) w( move w) turnRight r) WHILE c( leftIsClear c) w( move w) m)
2,103.47648899999967,0.0625,DEF run m( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) move putMarker move m)
3,101.98790299999973,0.125,DEF run m( REPEAT R=15 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) r) REPEAT R=1 r( pickMarker r) WHILE c( noMarkersPresent c) w( pickMarker w) REPEAT R=1 r( pickMarker r) m)
4,101.89642099999992,0.125,DEF run m( move putMarker move turnLeft move move turnRight move move m)
5,102.97723399999995,0.0625,DEF run m( move WHILE c( leftIsClear c) w( turnLeft w) REPEAT R=3 r( IF c( rightIsClear c) i( turnLeft i) r) m)
6,103.99340100000018,0.125,DEF run m( move move turnLeft move IF c( frontIsClear c) i( move turnRight move move pickMarker move i) IF c( frontIsClear c) i( move turnRight move move i) m)
7,102.35485000000017,0.125,DEF run m( move turnRight turnRight move turnRight move turnRight turnLeft move move turnRight move IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft move e) turnRight move move move move move move move move move m)
8,103.5606630000002,0.125,DEF run m( REPEAT R=5 r( WHILE c( frontIsClear c) w( move w) turnRight r) m)
9,101.62068,0.125,DEF run m( move REPEAT R=2 r( turnRight r) move turnRight IF c( rightIsClear c) i( move i) move move m)
10,103.00576100000035,0.1875,DEF run m( move move turnLeft move move turnRight move move move move move move m)
11,101.4872150000001,0.0625,DEF run m( REPEAT R=4 r( move r) IFELSE c( frontIsClear c) i( putMarker turnLeft i) ELSE e( move move e) m)
12,103.0674199999994,0.125,DEF run m( move move REPEAT R=2 r( turnRight r) move move WHILE c( frontIsClear c) w( move w) turnRight move move WHILE c( frontIsClear c) w( move w) move move m)
13,102.84611899999982,0.0625,DEF run m( IF c( frontIsClear c) i( move i) turnRight move move putMarker m)
14,100.82758699999977,0.125,DEF run m( REPEAT R=7 r( IFELSE c( frontIsClear c) i( move move i) ELSE e( putMarker turnRight e) r) m)
15,104.0077510000001,0.0625,DEF run m( IF c( leftIsClear c) i( move turnLeft i) WHILE c( leftIsClear c) w( pickMarker w) move m)
16,102.1636669999998,0.125,DEF run m( move move turnLeft putMarker move move turnRight move move turnLeft move m)
17,103.64955999999984,0.0625,DEF run m( WHILE c( frontIsClear c) w( move w) WHILE c( not c( frontIsClear c) c) w( turnLeft w) move move m)
18,184.23350200000004,0.6875,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move move turnLeft w) turnRight w) m)
19,102.43040099999962,0.125,DEF run m( REPEAT R=12 r( WHILE c( frontIsClear c) w( move w) turnRight r) m)
20,105.01570699999957,0.125,DEF run m( REPEAT R=5 r( putMarker putMarker WHILE c( frontIsClear c) w( move move w) WHILE c( frontIsClear c) w( move w) turnRight r) move m)
