Seed:,Runtime:,Reward of Final Program:,Final program:
1,504.21875,0.125,DEF run m( REPEAT R=10 r( WHILE c( frontIsClear c) w( move w) turnRight r) WHILE c( leftIsClear c) w( move w) m)
2,503.71875,0.125,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) REPEAT R=1 r( turnRight r) w) m)
3,505.25,0.125,DEF run m( REPEAT R=14 r( IFELSE c( frontIsClear c) i( move i) ELSE e( REPEAT R=7 r( turnLeft r) e) r) m)
4,503.40625,0.4375,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move turnLeft i) ELSE e( turnRight e) w) m)
5,504.796875,0.125,DEF run m( REPEAT R=6 r( turnLeft WHILE c( frontIsClear c) w( move putMarker w) r) m)
6,502.125,0.125,DEF run m( WHILE c( frontIsClear c) w( move w) REPEAT R=14 r( WHILE c( frontIsClear c) w( move w) REPEAT R=1 r( turnRight r) r) m)
7,503.46875,0.5625,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft WHILE c( frontIsClear c) w( move turnRight w) w) m)
8,504.28125,0.125,DEF run m( REPEAT R=5 r( WHILE c( frontIsClear c) w( move w) turnRight r) m)
9,501.671875,0.125,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) WHILE c( not c( frontIsClear c) c) w( turnRight w) w) m)
10,502.5625,0.125,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) WHILE c( not c( frontIsClear c) c) w( move w) m)
11,502.0625,0.125,DEF run m( REPEAT R=4 r( WHILE c( frontIsClear c) w( move w) turnRight r) m)
12,503.96875,0.625,DEF run m( WHILE c( noMarkersPresent c) w( move turnRight WHILE c( not c( frontIsClear c) c) w( turnLeft w) w) m)
13,502.671875,0.125,DEF run m( REPEAT R=14 r( WHILE c( frontIsClear c) w( move w) putMarker turnRight r) pickMarker m)
14,504.78125,0.125,DEF run m( REPEAT R=4 r( turnLeft WHILE c( frontIsClear c) w( move w) r) m)
15,504.0,0.5,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move WHILE c( not c( leftIsClear c) c) w( turnRight w) w) m)
16,503.546875,0.125,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft WHILE c( frontIsClear c) w( REPEAT R=1 r( move r) w) w) m)
17,503.53125,0.0625,DEF run m( WHILE c( frontIsClear c) w( move w) WHILE c( not c( frontIsClear c) c) w( turnLeft w) move move m)
18,501.0625,0.625,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move turnRight i) ELSE e( IF c( frontIsClear c) i( move i) turnLeft e) w) m)
19,502.21875,0.125,DEF run m( IFELSE c( leftIsClear c) i( REPEAT R=11 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) r) i) ELSE e( REPEAT R=8 r( move r) e) m)
20,503.140625,0.125,DEF run m( REPEAT R=16 r( IFELSE c( rightIsClear c) i( move i) ELSE e( turnLeft e) WHILE c( frontIsClear c) w( move w) r) m)
