Seed:,Runtime:,Reward of Final Program:,Final program:
1,336.1875,0.125,DEF run m( REPEAT R=10 r( WHILE c( frontIsClear c) w( move w) turnRight r) WHILE c( leftIsClear c) w( move w) m)
2,338.625,0.125,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) REPEAT R=1 r( turnRight r) w) m)
3,336.203125,0.125,DEF run m( REPEAT R=14 r( IFELSE c( frontIsClear c) i( move i) ELSE e( REPEAT R=7 r( turnLeft r) e) r) m)
4,335.796875,0.4375,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move turnLeft i) ELSE e( turnRight e) w) m)
5,343.546875,0.125,DEF run m( REPEAT R=6 r( turnLeft WHILE c( frontIsClear c) w( move putMarker w) r) m)
6,334.46875,0.125,DEF run m( WHILE c( frontIsClear c) w( move w) REPEAT R=14 r( WHILE c( frontIsClear c) w( move w) REPEAT R=1 r( turnRight r) r) m)
7,334.046875,0.5625,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft WHILE c( frontIsClear c) w( move turnRight w) w) m)
8,336.546875,0.125,DEF run m( REPEAT R=5 r( WHILE c( frontIsClear c) w( move w) turnRight r) m)
9,336.0625,0.125,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) WHILE c( not c( frontIsClear c) c) w( turnRight w) w) m)
10,336.59375,0.125,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) WHILE c( not c( frontIsClear c) c) w( move w) m)
11,333.671875,0.125,DEF run m( REPEAT R=4 r( WHILE c( frontIsClear c) w( move w) turnRight r) m)
12,334.59375,0.625,DEF run m( WHILE c( noMarkersPresent c) w( move turnRight WHILE c( not c( frontIsClear c) c) w( turnLeft w) w) m)
13,334.40625,0.125,DEF run m( REPEAT R=14 r( WHILE c( frontIsClear c) w( move w) putMarker turnRight r) pickMarker m)
14,336.296875,0.125,DEF run m( REPEAT R=4 r( turnLeft WHILE c( frontIsClear c) w( move w) r) m)
15,333.203125,0.125,DEF run m( REPEAT R=4 r( turnLeft WHILE c( frontIsClear c) w( putMarker move w) r) m)
16,334.296875,0.0625,DEF run m( IF c( rightIsClear c) i( move turnRight i) move REPEAT R=1 r( move move putMarker r) m)
17,336.21875,0.0625,DEF run m( WHILE c( frontIsClear c) w( move w) WHILE c( not c( frontIsClear c) c) w( turnLeft w) move move m)
18,334.6875,0.625,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move turnRight i) ELSE e( IF c( frontIsClear c) i( move i) turnLeft e) w) m)
19,334.5625,0.0625,DEF run m( IF c( not c( frontIsClear c) c) i( move i) REPEAT R=1 r( WHILE c( leftIsClear c) w( move w) r) m)
20,335.421875,0.125,DEF run m( REPEAT R=16 r( IFELSE c( rightIsClear c) i( move i) ELSE e( turnLeft e) WHILE c( frontIsClear c) w( move w) r) m)
