Seed:,Runtime:,Reward of Final Program:,Final program:
1,841.109375,0.1875,DEF run m( WHILE c( leftIsClear c) w( move w) move turnLeft move move REPEAT R=11 r( turnLeft r) WHILE c( markersPresent c) w( move turnRight w) WHILE c( markersPresent c) w( turnLeft w) REPEAT R=11 r( move r) turnLeft m)
2,839.109375,0.125,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) REPEAT R=1 r( turnRight r) w) m)
3,840.140625,0.3125,DEF run m( putMarker WHILE c( leftIsClear c) w( turnLeft move WHILE c( not c( leftIsClear c) c) w( putMarker turnRight w) WHILE c( not c( leftIsClear c) c) w( move putMarker w) w) m)
4,839.09375,0.4375,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move turnLeft i) ELSE e( turnRight e) w) m)
5,838.515625,0.125,DEF run m( REPEAT R=6 r( turnLeft WHILE c( frontIsClear c) w( move putMarker w) r) m)
6,837.203125,0.5,DEF run m( WHILE c( leftIsClear c) w( turnLeft move WHILE c( not c( leftIsClear c) c) w( turnRight w) w) m)
7,835.875,0.5625,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft WHILE c( frontIsClear c) w( move turnRight w) w) m)
8,837.859375,0.1875,DEF run m( REPEAT R=11 r( move turnRight WHILE c( not c( frontIsClear c) c) w( turnLeft putMarker w) r) m)
9,838.421875,0.125,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) WHILE c( not c( frontIsClear c) c) w( turnRight w) w) m)
10,835.359375,0.125,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) WHILE c( not c( frontIsClear c) c) w( move w) m)
11,837.84375,0.125,DEF run m( REPEAT R=4 r( WHILE c( frontIsClear c) w( move w) turnRight r) m)
12,842.671875,0.625,DEF run m( WHILE c( noMarkersPresent c) w( move turnRight WHILE c( not c( frontIsClear c) c) w( turnLeft w) w) m)
13,837.6875,0.125,DEF run m( REPEAT R=14 r( WHILE c( frontIsClear c) w( move w) putMarker turnRight r) pickMarker m)
14,842.390625,0.125,DEF run m( REPEAT R=4 r( turnLeft WHILE c( frontIsClear c) w( move w) r) m)
15,838.140625,0.5,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move WHILE c( not c( leftIsClear c) c) w( turnRight w) w) m)
16,840.5625,0.125,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft WHILE c( frontIsClear c) w( REPEAT R=1 r( move r) w) w) m)
17,838.390625,0.125,DEF run m( move turnLeft turnLeft move turnRight WHILE c( rightIsClear c) w( move move w) m)
18,835.0625,0.625,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move turnRight i) ELSE e( IF c( frontIsClear c) i( move i) turnLeft e) w) m)
19,836.65625,0.125,DEF run m( IFELSE c( leftIsClear c) i( REPEAT R=11 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) r) i) ELSE e( REPEAT R=8 r( move r) e) m)
20,840.109375,0.125,DEF run m( REPEAT R=16 r( IFELSE c( rightIsClear c) i( move i) ELSE e( turnLeft e) WHILE c( frontIsClear c) w( move w) r) m)
