Seed:,Runtime:,Reward of Final Program:,Final program:
1,673.109375,0.125,DEF run m( REPEAT R=10 r( WHILE c( frontIsClear c) w( move w) turnRight r) WHILE c( leftIsClear c) w( move w) m)
2,671.109375,0.125,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) REPEAT R=1 r( turnRight r) w) m)
3,671.28125,0.125,DEF run m( REPEAT R=14 r( IFELSE c( frontIsClear c) i( move i) ELSE e( REPEAT R=7 r( turnLeft r) e) r) m)
4,673.109375,0.4375,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move turnLeft i) ELSE e( turnRight e) w) m)
5,670.875,0.125,DEF run m( REPEAT R=6 r( turnLeft WHILE c( frontIsClear c) w( move putMarker w) r) m)
6,668.625,0.5,DEF run m( WHILE c( leftIsClear c) w( turnLeft move WHILE c( not c( leftIsClear c) c) w( turnRight w) w) m)
7,669.03125,0.5625,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft WHILE c( frontIsClear c) w( move turnRight w) w) m)
8,668.5,0.1875,DEF run m( REPEAT R=11 r( move turnRight WHILE c( not c( frontIsClear c) c) w( turnLeft putMarker w) r) m)
9,669.59375,0.125,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) WHILE c( not c( frontIsClear c) c) w( turnRight w) w) m)
10,668.125,0.125,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) WHILE c( not c( frontIsClear c) c) w( move w) m)
11,668.40625,0.125,DEF run m( REPEAT R=4 r( WHILE c( frontIsClear c) w( move w) turnRight r) m)
12,674.390625,0.625,DEF run m( WHILE c( noMarkersPresent c) w( move turnRight WHILE c( not c( frontIsClear c) c) w( turnLeft w) w) m)
13,670.015625,0.125,DEF run m( REPEAT R=14 r( WHILE c( frontIsClear c) w( move w) putMarker turnRight r) pickMarker m)
14,672.46875,0.125,DEF run m( REPEAT R=4 r( turnLeft WHILE c( frontIsClear c) w( move w) r) m)
15,670.046875,0.5,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move WHILE c( not c( leftIsClear c) c) w( turnRight w) w) m)
16,672.0625,0.125,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft WHILE c( frontIsClear c) w( REPEAT R=1 r( move r) w) w) m)
17,670.46875,0.125,DEF run m( move turnLeft turnLeft move turnRight WHILE c( rightIsClear c) w( move move w) m)
18,665.5,0.625,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move turnRight i) ELSE e( IF c( frontIsClear c) i( move i) turnLeft e) w) m)
19,670.25,0.125,DEF run m( IFELSE c( leftIsClear c) i( REPEAT R=11 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) r) i) ELSE e( REPEAT R=8 r( move r) e) m)
20,670.84375,0.125,DEF run m( REPEAT R=16 r( IFELSE c( rightIsClear c) i( move i) ELSE e( turnLeft e) WHILE c( frontIsClear c) w( move w) r) m)
