Seed:,Runtime:,Reward of Final Program:,Final program:
1,366.109375,0.625,DEF run m( turnLeft move WHILE c( noMarkersPresent c) w( turnRight move w) m)
2,365.359375,0.625,DEF run m( IF c( frontIsClear c) i( move i) turnLeft WHILE c( noMarkersPresent c) w( move turnRight w) m)
3,363.140625,0.625,DEF run m( turnLeft move turnRight IF c( frontIsClear c) i( move pickMarker i) m)
4,368.828125,0.625,DEF run m( turnLeft move IF c( noMarkersPresent c) i( turnRight i) move move turnRight m)
5,369.796875,0.625,DEF run m( REPEAT R=0 r( move r) turnLeft WHILE c( noMarkersPresent c) w( move turnRight w) m)
6,363.28125,0.625,DEF run m( turnLeft move turnRight WHILE c( rightIsClear c) w( move w) move turnRight m)
7,369.0625,0.625,DEF run m( turnLeft move turnRight IF c( rightIsClear c) i( move i) pickMarker m)
8,369.171875,0.8125,DEF run m( REPEAT R=3 r( WHILE c( frontIsClear c) w( move w) turnLeft move turnRight r) m)
9,366.4375,0.625,DEF run m( turnLeft WHILE c( frontIsClear c) w( move turnRight w) m)
10,373.0,0.625,DEF run m( turnLeft move turnRight move turnLeft m)
11,371.28125,0.625,DEF run m( turnLeft move turnRight putMarker move turnLeft m)
12,363.40625,0.625,DEF run m( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft move e) turnRight move turnLeft m)
13,374.375,0.625,DEF run m( WHILE c( rightIsClear c) w( move w) IF c( markersPresent c) i( turnRight i) turnLeft move turnRight move m)
14,371.140625,0.625,DEF run m( turnLeft move turnRight WHILE c( frontIsClear c) w( move turnRight w) IF c( not c( leftIsClear c) c) i( putMarker turnRight i) m)
15,376.296875,0.625,DEF run m( turnLeft move turnRight WHILE c( frontIsClear c) w( move move w) m)
16,370.640625,0.625,DEF run m( WHILE c( frontIsClear c) w( turnRight move w) turnLeft WHILE c( frontIsClear c) w( move turnRight w) m)
