Seed:,Runtime:,Reward of Final Program:,Final program:
1,94.67714999999998,0.625,DEF run m( IF c( frontIsClear c) i( turnRight pickMarker i) turnLeft move turnRight putMarker move pickMarker m)
2,94.11421399999995,1.0,DEF run m( WHILE c( leftIsClear c) w( turnLeft move WHILE c( rightIsClear c) w( turnRight move w) w) m)
3,94.14515800000004,1.0,DEF run m( REPEAT R=19 r( turnLeft move turnRight move r) IFELSE c( not c( rightIsClear c) c) i( move i) ELSE e( move e) turnLeft move IFELSE c( not c( rightIsClear c) c) i( move i) ELSE e( move e) move turnLeft m)
4,94.21288099999992,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight move turnLeft turnRight w) turnLeft move turnRight putMarker turnLeft m)
5,94.23797100000002,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnRight IFELSE c( not c( frontIsClear c) c) i( turnRight i) ELSE e( move e) w) WHILE c( not c( noMarkersPresent c) c) w( turnRight w) move turnRight REPEAT R=0 r( turnRight r) move turnRight m)
6,94.5503920000001,1.0,DEF run m( REPEAT R=5 r( turnLeft move turnRight move r) m)
7,94.36195199999997,1.0,DEF run m( WHILE c( leftIsClear c) w( turnLeft move turnRight WHILE c( frontIsClear c) w( move w) w) m)
8,94.18112100000008,1.0,DEF run m( WHILE c( rightIsClear c) w( move w) WHILE c( leftIsClear c) w( turnLeft move turnRight move w) m)
9,94.2216199999998,0.625,DEF run m( turnLeft move turnRight putMarker move move m)
10,94.35469300000022,1.0,DEF run m( WHILE c( leftIsClear c) w( IFELSE c( frontIsClear c) i( pickMarker turnRight i) ELSE e( turnLeft move turnRight move e) w) m)
11,94.448531,0.625,DEF run m( turnLeft IFELSE c( frontIsClear c) i( move turnRight i) ELSE e( putMarker e) move turnRight m)
12,94.02524700000004,0.8125,DEF run m( putMarker turnLeft move turnRight move turnLeft move turnRight move move turnLeft move move turnRight move move turnLeft move m)
13,94.52803099999983,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight move w) m)
14,94.4083740000001,0.8125,DEF run m( REPEAT R=3 r( turnLeft putMarker WHILE c( frontIsClear c) w( move turnRight w) r) m)
15,94.9800750000004,0.625,DEF run m( turnLeft move turnRight putMarker WHILE c( markersPresent c) w( move w) turnRight m)
16,94.95508999999993,0.8125,DEF run m( turnLeft move turnRight move turnLeft move turnRight move putMarker move turnRight move putMarker move m)
17,94.96162400000003,0.625,DEF run m( turnLeft move IFELSE c( frontIsClear c) i( turnRight putMarker i) ELSE e( turnRight move e) move turnRight m)
18,95.165978,0.625,DEF run m( IFELSE c( noMarkersPresent c) i( turnLeft i) ELSE e( turnRight e) move turnRight WHILE c( rightIsClear c) w( move w) m)
19,95.10261999999966,0.8125,DEF run m( REPEAT R=2 r( turnLeft move turnRight move r) m)
20,95.06959899999993,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight move w) m)
