Seed:,Runtime:,Reward of Final Program:,Final program:
1,117.02458799999977,0.625,DEF run m( IF c( frontIsClear c) i( turnRight pickMarker i) turnLeft move turnRight putMarker move pickMarker m)
2,116.61212300000034,1.0,DEF run m( WHILE c( leftIsClear c) w( turnLeft move WHILE c( rightIsClear c) w( turnRight move w) w) m)
3,116.6668880000002,1.0,DEF run m( REPEAT R=19 r( turnLeft move turnRight move r) IFELSE c( not c( rightIsClear c) c) i( move i) ELSE e( move e) turnLeft move IFELSE c( not c( rightIsClear c) c) i( move i) ELSE e( move e) move turnLeft m)
4,116.72259600000007,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight move turnLeft turnRight w) turnLeft move turnRight putMarker turnLeft m)
5,116.65610100000004,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnRight IFELSE c( not c( frontIsClear c) c) i( turnRight i) ELSE e( move e) w) WHILE c( not c( noMarkersPresent c) c) w( turnRight w) move turnRight REPEAT R=0 r( turnRight r) move turnRight m)
6,116.66902600000003,1.0,DEF run m( REPEAT R=5 r( turnLeft move turnRight move r) m)
7,116.74777400000039,1.0,DEF run m( WHILE c( leftIsClear c) w( turnLeft move turnRight WHILE c( frontIsClear c) w( move w) w) m)
8,117.10705599999983,1.0,DEF run m( WHILE c( rightIsClear c) w( move w) WHILE c( leftIsClear c) w( turnLeft move turnRight move w) m)
9,117.13314200000059,0.625,DEF run m( turnLeft move turnRight putMarker move move m)
10,118.77049100000022,1.0,DEF run m( WHILE c( leftIsClear c) w( IFELSE c( frontIsClear c) i( pickMarker turnRight i) ELSE e( turnLeft move turnRight move e) w) m)
11,118.55083999999988,0.625,DEF run m( turnLeft IFELSE c( frontIsClear c) i( move turnRight i) ELSE e( putMarker e) move turnRight m)
12,116.52683900000011,0.8125,DEF run m( putMarker turnLeft move turnRight move turnLeft move turnRight move move turnLeft move move turnRight move move turnLeft move m)
13,116.90893800000049,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight move w) m)
14,116.88262599999962,0.8125,DEF run m( REPEAT R=3 r( turnLeft putMarker WHILE c( frontIsClear c) w( move turnRight w) r) m)
15,116.69887899999958,0.625,DEF run m( turnLeft move turnRight putMarker WHILE c( markersPresent c) w( move w) turnRight m)
16,116.8565009999993,0.8125,DEF run m( turnLeft move turnRight move turnLeft move turnRight move putMarker move turnRight move putMarker move m)
17,116.89065899999969,0.625,DEF run m( turnLeft move IFELSE c( frontIsClear c) i( turnRight putMarker i) ELSE e( turnRight move e) move turnRight m)
18,117.58686099999977,0.625,DEF run m( IFELSE c( noMarkersPresent c) i( turnLeft i) ELSE e( turnRight e) move turnRight WHILE c( rightIsClear c) w( move w) m)
19,117.60113199999978,0.8125,DEF run m( REPEAT R=2 r( turnLeft move turnRight move r) m)
20,117.3787540000003,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight move w) m)
