Seed:,Runtime:,Reward of Final Program:,Final program:
1,117.46082299999944,0.125,DEF run m( REPEAT R=10 r( WHILE c( frontIsClear c) w( move w) turnRight r) WHILE c( leftIsClear c) w( move w) m)
2,102.47942599999988,0.0625,DEF run m( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) move putMarker move m)
3,127.16629699999976,0.0625,DEF run m( REPEAT R=2 r( putMarker move r) turnRight move turnLeft m)
4,105.59713400000146,0.0625,DEF run m( REPEAT R=1 r( IFELSE c( frontIsClear c) i( turnLeft i) ELSE e( turnRight e) r) WHILE c( frontIsClear c) w( move w) m)
5,113.43569800000114,0.0625,DEF run m( move WHILE c( leftIsClear c) w( turnLeft w) REPEAT R=3 r( IF c( rightIsClear c) i( turnLeft i) r) m)
6,110.02231399999982,0.0625,DEF run m( WHILE c( noMarkersPresent c) w( move w) turnRight IF c( leftIsClear c) i( turnLeft move i) m)
7,112.55916900000011,0.0625,DEF run m( IF c( markersPresent c) i( move i) move IF c( frontIsClear c) i( putMarker turnRight i) m)
8,108.86660599999959,0.125,DEF run m( REPEAT R=5 r( WHILE c( frontIsClear c) w( move w) turnRight r) m)
9,104.2130589999997,0.0625,DEF run m( IF c( noMarkersPresent c) i( move turnRight turnLeft i) move turnRight m)
10,102.4362459999993,0.0625,DEF run m( move IF c( rightIsClear c) i( move i) WHILE c( noMarkersPresent c) w( move w) m)
11,110.19818300000043,0.0625,DEF run m( REPEAT R=4 r( move r) IFELSE c( frontIsClear c) i( putMarker turnLeft i) ELSE e( move move e) m)
12,111.4626019999996,0.0625,DEF run m( move IF c( frontIsClear c) i( move i) turnRight move turnRight m)
13,115.59921899999972,0.0625,DEF run m( IF c( frontIsClear c) i( move i) turnRight move move putMarker m)
14,105.60116299999936,0.0625,DEF run m( IF c( frontIsClear c) i( move i) IFELSE c( rightIsClear c) i( turnRight move i) ELSE e( move e) m)
15,109.22160299999996,0.0625,DEF run m( IF c( leftIsClear c) i( move turnLeft i) WHILE c( leftIsClear c) w( pickMarker w) move m)
16,103.58930999999939,0.0625,DEF run m( IF c( rightIsClear c) i( move turnRight i) move REPEAT R=1 r( move move putMarker r) m)
17,129.76684000000023,0.0625,DEF run m( WHILE c( frontIsClear c) w( move w) WHILE c( not c( frontIsClear c) c) w( turnLeft w) move move m)
18,104.38901599999917,0.125,DEF run m( REPEAT R=10 r( turnRight WHILE c( frontIsClear c) w( move turnLeft w) r) m)
19,115.86294599999928,0.0625,DEF run m( IF c( not c( frontIsClear c) c) i( move i) REPEAT R=1 r( WHILE c( leftIsClear c) w( move w) r) m)
20,104.8355219999994,0.0625,DEF run m( move turnRight IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) WHILE c( rightIsClear c) w( turnRight w) m)
