Seed:,Runtime:,Reward of Final Program:,Final program:
1,28.70256900000004,0.125,DEF run m( REPEAT R=10 r( WHILE c( frontIsClear c) w( move w) turnRight r) WHILE c( leftIsClear c) w( move w) m)
2,26.927209999999832,0.0625,DEF run m( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) move putMarker move m)
3,31.81744399999934,0.0625,DEF run m( REPEAT R=2 r( putMarker move r) turnRight move turnLeft m)
4,27.517703999999867,0.0625,DEF run m( REPEAT R=1 r( IFELSE c( frontIsClear c) i( turnLeft i) ELSE e( turnRight e) r) WHILE c( frontIsClear c) w( move w) m)
5,27.54190800000015,0.0625,DEF run m( move WHILE c( leftIsClear c) w( turnLeft w) REPEAT R=3 r( IF c( rightIsClear c) i( turnLeft i) r) m)
6,28.03049800000008,0.0625,DEF run m( WHILE c( noMarkersPresent c) w( move w) turnRight IF c( leftIsClear c) i( turnLeft move i) m)
7,27.077972999999474,0.0625,DEF run m( IF c( markersPresent c) i( move i) move IF c( frontIsClear c) i( putMarker turnRight i) m)
8,27.44825800000035,0.125,DEF run m( REPEAT R=5 r( WHILE c( frontIsClear c) w( move w) turnRight r) m)
9,25.852493000000322,0.0625,DEF run m( IF c( noMarkersPresent c) i( move turnRight turnLeft i) move turnRight m)
10,26.211307000000488,0.0625,DEF run m( move IF c( rightIsClear c) i( move i) WHILE c( noMarkersPresent c) w( move w) m)
11,27.409209999999803,0.0625,DEF run m( REPEAT R=4 r( move r) IFELSE c( frontIsClear c) i( putMarker turnLeft i) ELSE e( move move e) m)
12,27.945306999999957,0.0625,DEF run m( move IF c( frontIsClear c) i( move i) turnRight move turnRight m)
13,29.061623999999938,0.0625,DEF run m( IF c( frontIsClear c) i( move i) turnRight move move putMarker m)
14,27.6314739999998,0.0625,DEF run m( IF c( frontIsClear c) i( move i) IFELSE c( rightIsClear c) i( turnRight move i) ELSE e( move e) m)
15,26.979268999999476,0.0625,DEF run m( IF c( leftIsClear c) i( move turnLeft i) WHILE c( leftIsClear c) w( pickMarker w) move m)
16,26.320222000000285,0.0625,DEF run m( IF c( rightIsClear c) i( move turnRight i) move REPEAT R=1 r( move move putMarker r) m)
17,29.523392999999487,0.0625,DEF run m( WHILE c( frontIsClear c) w( move w) WHILE c( not c( frontIsClear c) c) w( turnLeft w) move move m)
18,26.38809500000025,0.125,DEF run m( REPEAT R=10 r( turnRight WHILE c( frontIsClear c) w( move turnLeft w) r) m)
19,29.616495000000214,0.0625,DEF run m( IF c( not c( frontIsClear c) c) i( move i) REPEAT R=1 r( WHILE c( leftIsClear c) w( move w) r) m)
20,25.774601999999504,0.0625,DEF run m( move turnRight IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) WHILE c( rightIsClear c) w( turnRight w) m)
