Seed:,Runtime:,Reward of Final Program:,Final program:
1,105.06230500000001,0.125,DEF run m( turnLeft move move turnRight move WHILE c( frontIsClear c) w( move w) REPEAT R=0 r( move r) m)
2,102.09579699999999,0.0625,DEF run m( WHILE c( markersPresent c) w( turnRight putMarker w) turnLeft WHILE c( frontIsClear c) w( move w) m)
3,102.88220099999998,0.125,DEF run m( turnLeft move move turnRight move move REPEAT R=8 r( putMarker move r) turnRight move IFELSE c( not c( rightIsClear c) c) i( putMarker i) ELSE e( move e) turnRight move REPEAT R=8 r( putMarker r) m)
4,99.84873900000002,0.0625,DEF run m( REPEAT R=1 r( IFELSE c( frontIsClear c) i( turnLeft i) ELSE e( turnRight e) r) WHILE c( frontIsClear c) w( move w) m)
5,101.839313,0.125,DEF run m( turnLeft move move turnRight move REPEAT R=8 r( move r) m)
6,100.80017400000008,0.125,DEF run m( IFELSE c( frontIsClear c) i( turnLeft i) ELSE e( move e) move move turnRight move move IF c( noMarkersPresent c) i( move i) move move turnRight move m)
7,100.86690600000009,0.125,DEF run m( turnLeft move move turnRight IF c( frontIsClear c) i( move move i) IF c( frontIsClear c) i( move move i) IF c( frontIsClear c) i( move i) move m)
8,101.94792000000007,0.0625,DEF run m( REPEAT R=7 r( turnLeft move turnRight r) m)
9,101.88923,0.125,DEF run m( turnLeft move move turnRight IF c( frontIsClear c) i( move move i) IF c( frontIsClear c) i( move i) IF c( frontIsClear c) i( move i) IF c( frontIsClear c) i( move i) IF c( frontIsClear c) i( move i) m)
10,103.59176600000012,0.125,DEF run m( turnLeft move move turnRight move move turnLeft turnRight move move turnLeft turnRight move move turnLeft turnRight move move turnLeft turnRight move move m)
11,103.29977700000018,0.3125,DEF run m( WHILE c( frontIsClear c) w( move turnLeft IF c( frontIsClear c) i( move i) WHILE c( not c( frontIsClear c) c) w( turnRight w) w) m)
12,103.38960500000007,0.125,DEF run m( turnLeft move WHILE c( markersPresent c) w( turnLeft w) move turnRight WHILE c( noMarkersPresent c) w( move w) m)
13,105.23530000000005,0.125,DEF run m( turnLeft move move turnRight move move move putMarker move move move m)
14,102.83727399999998,0.125,DEF run m( turnLeft move move turnRight IFELSE c( frontIsClear c) i( move i) ELSE e( move turnLeft e) WHILE c( frontIsClear c) w( move w) m)
15,104.44837699999994,0.0625,DEF run m( REPEAT R=6 r( turnLeft move putMarker IF c( frontIsClear c) i( move i) r) m)
16,102.81222500000013,0.0625,DEF run m( IFELSE c( rightIsClear c) i( move i) ELSE e( turnLeft e) move WHILE c( frontIsClear c) w( move w) putMarker m)
17,103.83062100000006,0.125,DEF run m( turnLeft move IFELSE c( rightIsClear c) i( move i) ELSE e( move turnRight move IFELSE c( markersPresent c) i( move i) ELSE e( move move e) move move e) m)
18,104.74835600000006,0.0625,DEF run m( IFELSE c( leftIsClear c) i( turnLeft move i) ELSE e( turnRight e) move putMarker m)
19,104.53258599999981,0.125,DEF run m( turnLeft move REPEAT R=0 r( turnLeft r) move turnRight IFELSE c( frontIsClear c) i( i) ELSE e( pickMarker e) WHILE c( frontIsClear c) w( move w) IFELSE c( frontIsClear c) i( turnLeft i) ELSE e( move e) m)
20,103.49096299999974,0.125,DEF run m( turnLeft move move turnRight move WHILE c( frontIsClear c) w( move w) move WHILE c( frontIsClear c) w( move w) move m)
