Seed:,Runtime:,Reward of Final Program:,Final program:
1,127.3122059999996,0.75,DEF run m( REPEAT R=10 r( WHILE c( frontIsClear c) w( move w) turnRight r) WHILE c( leftIsClear c) w( move w) m)
2,128.21907099999953,0.625,DEF run m( IF c( leftIsClear c) i( turnLeft i) move move move move turnRight move move move move turnRight move move move move move move move turnRight move move move m)
3,173.97138099999938,1.0,DEF run m( WHILE c( frontIsClear c) w( move turnLeft WHILE c( not c( frontIsClear c) c) w( turnRight w) w) turnRight m)
4,128.46253200000046,0.625,DEF run m( IFELSE c( frontIsClear c) i( REPEAT R=11 r( turnLeft WHILE c( frontIsClear c) w( move w) r) i) ELSE e( move turnLeft turnRight e) m)
5,127.8140000000003,0.625,DEF run m( turnLeft move move move move turnRight move move move move turnRight move move move m)
6,130.28848199999993,0.625,DEF run m( turnLeft move turnLeft turnRight move WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( frontIsClear c) w( move w) turnRight move m)
7,128.39232099999936,0.75,DEF run m( REPEAT R=12 r( WHILE c( frontIsClear c) w( move w) REPEAT R=4 r( turnRight WHILE c( frontIsClear c) w( move w) r) r) REPEAT R=4 r( turnRight r) WHILE c( frontIsClear c) w( move w) REPEAT R=4 r( move r) m)
8,129.31024500000058,0.625,DEF run m( REPEAT R=16 r( IF c( noMarkersPresent c) i( turnLeft i) WHILE c( frontIsClear c) w( move w) r) m)
9,126.45928599999934,0.625,DEF run m( IFELSE c( markersPresent c) i( move move i) ELSE e( turnLeft move e) WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( noMarkersPresent c) w( move w) turnRight move move m)
10,129.3587379999999,0.625,DEF run m( turnLeft REPEAT R=7 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) WHILE c( frontIsClear c) w( move w) r) m)
11,128.58451199999945,0.625,DEF run m( turnLeft move move move move turnRight move move move move turnRight move move move move move move m)
12,127.90767700000015,0.625,DEF run m( turnLeft move move move move turnRight move move move move turnRight move move move move turnLeft move move move turnRight move move move WHILE c( frontIsClear c) w( move w) move move move turnRight move move move move m)
13,127.89381400000002,0.625,DEF run m( turnLeft REPEAT R=4 r( WHILE c( frontIsClear c) w( move w) REPEAT R=3 r( turnLeft r) WHILE c( frontIsClear c) w( putMarker move w) putMarker r) m)
14,126.73395400000027,0.625,DEF run m( turnLeft move IF c( frontIsClear c) i( move i) move move turnRight move move WHILE c( leftIsClear c) w( move w) move move turnRight move move move m)
15,128.3870710000001,0.625,DEF run m( turnLeft move move move move turnRight move move move move turnRight move move move turnRight move move move m)
16,134.8422559999999,0.625,DEF run m( turnLeft WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) turnRight m)
17,129.54382799999985,0.625,DEF run m( turnLeft REPEAT R=10 r( IFELSE c( frontIsClear c) i( move move i) ELSE e( WHILE c( leftIsClear c) w( move w) turnRight e) r) turnRight m)
18,125.47248800000034,0.625,DEF run m( WHILE c( noMarkersPresent c) w( IF c( leftIsClear c) i( turnLeft i) move turnRight w) m)
19,131.31852100000015,0.625,DEF run m( REPEAT R=11 r( turnLeft WHILE c( frontIsClear c) w( move w) r) IF c( frontIsClear c) i( turnLeft i) WHILE c( frontIsClear c) w( move w) REPEAT R=9 r( WHILE c( frontIsClear c) w( move w) r) turnLeft m)
20,126.15051399999993,0.625,DEF run m( turnLeft move move move move turnRight move move move move turnRight move move move move turnLeft move move move move move m)
