Seed:,Runtime:,Reward of Final Program:,Final program:
1,26.60703,0.75,DEF run m( REPEAT R=10 r( WHILE c( frontIsClear c) w( move w) turnRight r) WHILE c( leftIsClear c) w( move w) m)
2,27.655901999999998,0.375,DEF run m( WHILE c( markersPresent c) w( turnRight putMarker w) turnLeft WHILE c( frontIsClear c) w( move w) m)
3,26.301792999999996,0.375,DEF run m( IFELSE c( frontIsClear c) i( turnLeft i) ELSE e( move turnRight e) WHILE c( frontIsClear c) w( move w) WHILE c( markersPresent c) w( turnRight w) m)
4,27.975508000000005,0.625,DEF run m( REPEAT R=11 r( turnLeft WHILE c( frontIsClear c) w( move WHILE c( not c( frontIsClear c) c) w( turnLeft w) w) r) m)
5,26.50561599999999,0.4375,DEF run m( turnLeft move move move move turnRight WHILE c( frontIsClear c) w( move w) move turnRight m)
6,26.214534999999984,0.4375,DEF run m( REPEAT R=7 r( WHILE c( frontIsClear c) w( turnLeft w) turnRight move r) m)
7,26.527637999999996,0.375,DEF run m( turnLeft move WHILE c( frontIsClear c) w( move w) turnLeft move m)
8,26.385463000000016,0.5625,DEF run m( REPEAT R=5 r( WHILE c( frontIsClear c) w( move w) turnRight r) m)
9,26.866052999999994,0.4375,DEF run m( WHILE c( markersPresent c) w( move w) turnLeft move WHILE c( frontIsClear c) w( move w) turnRight move move m)
10,26.692542000000003,0.5625,DEF run m( turnLeft REPEAT R=4 r( WHILE c( frontIsClear c) w( move w) turnLeft IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) r) m)
11,26.09513400000003,0.375,DEF run m( REPEAT R=1 r( turnLeft r) putMarker WHILE c( frontIsClear c) w( move w) turnLeft m)
12,30.30499900000001,0.625,DEF run m( REPEAT R=10 r( turnLeft WHILE c( frontIsClear c) w( putMarker move w) r) m)
13,27.024667999999963,0.625,DEF run m( REPEAT R=18 r( turnLeft WHILE c( frontIsClear c) w( move w) WHILE c( frontIsClear c) w( move w) r) m)
14,26.23680300000001,0.375,DEF run m( turnLeft move WHILE c( noMarkersPresent c) w( move w) WHILE c( markersPresent c) w( move turnRight w) m)
15,26.047874999999976,0.4375,DEF run m( turnLeft REPEAT R=1 r( putMarker r) IF c( not c( leftIsClear c) c) i( move i) move putMarker move move turnRight IF c( not c( leftIsClear c) c) i( putMarker i) move move turnRight m)
16,27.38915800000001,0.625,DEF run m( REPEAT R=6 r( turnLeft WHILE c( frontIsClear c) w( move w) r) m)
17,26.598770000000002,0.375,DEF run m( turnLeft WHILE c( leftIsClear c) w( turnRight w) WHILE c( frontIsClear c) w( move w) m)
18,26.300415999999984,0.625,DEF run m( WHILE c( noMarkersPresent c) w( IF c( leftIsClear c) i( turnLeft i) move turnRight w) m)
19,27.861737000000005,0.625,DEF run m( turnLeft REPEAT R=2 r( move r) WHILE c( rightIsClear c) w( REPEAT R=13 r( WHILE c( frontIsClear c) w( move w) r) REPEAT R=19 r( turnLeft r) WHILE c( frontIsClear c) w( move w) w) REPEAT R=19 r( move r) m)
20,27.51777100000004,0.625,DEF run m( turnLeft move REPEAT R=3 r( WHILE c( frontIsClear c) w( move w) r) turnRight WHILE c( frontIsClear c) w( move w) turnRight WHILE c( frontIsClear c) w( move w) turnRight m)
