Seed:,Runtime:,Reward of Final Program:,Final program:
1,119.40259500000002,0.875,DEF run m( REPEAT R=16 r( turnLeft WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) w) turnRight w) WHILE c( frontIsClear c) w( move w) r) m)
2,102.22344500000008,0.4375,DEF run m( turnLeft WHILE c( frontIsClear c) w( move w) WHILE c( frontIsClear c) w( move w) REPEAT R=3 r( turnLeft r) WHILE c( noMarkersPresent c) w( move w) REPEAT R=0 r( move r) turnLeft m)
3,102.57586200000014,0.625,DEF run m( turnLeft WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( frontIsClear c) w( move w) turnRight move m)
4,101.15790199999992,0.625,DEF run m( turnLeft move move move move turnRight move move move move turnRight move move move m)
5,104.66043799999989,0.625,DEF run m( turnLeft move move move move turnRight move move move move turnRight move move move turnRight move move move turnRight move move turnRight move move m)
6,133.13106900000002,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft WHILE c( frontIsClear c) w( IF c( noMarkersPresent c) i( move turnRight i) w) w) m)
7,104.44824199999994,0.625,DEF run m( IF c( frontIsClear c) i( turnLeft i) WHILE c( frontIsClear c) w( move w) turnRight move move move WHILE c( frontIsClear c) w( move w) turnRight move move move move move move move m)
8,103.54315999999972,0.625,DEF run m( turnLeft move move move move turnRight move move move move turnRight move move move move turnRight move move move move move m)
9,102.49862100000018,0.625,DEF run m( turnLeft move move move move turnRight move move move move turnRight move move move move m)
10,102.89077199999974,0.4375,DEF run m( turnLeft move move WHILE c( frontIsClear c) w( move move turnRight move w) m)
11,104.24644800000078,0.4375,DEF run m( turnLeft move turnLeft turnRight WHILE c( frontIsClear c) w( move w) WHILE c( frontIsClear c) w( move w) turnRight move move m)
12,104.48936400000002,0.625,DEF run m( turnLeft WHILE c( frontIsClear c) w( move w) REPEAT R=10 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) r) m)
13,103.93530199999987,0.75,DEF run m( REPEAT R=13 r( WHILE c( frontIsClear c) w( move w) turnRight r) move WHILE c( frontIsClear c) w( move w) turnRight move m)
14,101.02696399999968,0.625,DEF run m( IF c( frontIsClear c) i( turnLeft i) IFELSE c( rightIsClear c) i( move i) ELSE e( move e) putMarker move move move turnRight move move putMarker move move turnRight move move putMarker move move m)
15,102.97407000000021,0.625,DEF run m( turnLeft putMarker move move move move turnRight move move putMarker move move turnRight move putMarker move move putMarker m)
16,102.64606000000003,0.75,DEF run m( REPEAT R=9 r( WHILE c( frontIsClear c) w( move w) turnRight r) move WHILE c( frontIsClear c) w( move w) IF c( frontIsClear c) i( move i) WHILE c( frontIsClear c) w( move w) turnRight move m)
17,102.84594600000037,0.625,DEF run m( turnLeft move move move move turnRight move move move move turnRight move move move move m)
18,101.41462599999977,0.625,DEF run m( WHILE c( noMarkersPresent c) w( IF c( leftIsClear c) i( turnLeft i) move turnRight w) m)
19,108.76482000000033,0.875,DEF run m( REPEAT R=9 r( turnLeft WHILE c( frontIsClear c) w( move w) WHILE c( rightIsClear c) w( turnRight w) r) m)
20,105.64181199999985,0.625,DEF run m( turnLeft move putMarker move move move turnRight move move move move turnRight move move move move m)
