Seed:,Runtime:,Reward of Final Program:,Final program:
1,167.890625,0.75,DEF run m( REPEAT R=10 r( WHILE c( frontIsClear c) w( move w) turnRight r) WHILE c( leftIsClear c) w( move w) m)
2,164.3125,0.5,DEF run m( REPEAT R=16 r( IFELSE c( leftIsClear c) i( turnLeft move i) ELSE e( putMarker pickMarker turnRight e) r) m)
3,163.71875,0.75,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) turnRight w) m)
4,165.015625,0.375,DEF run m( REPEAT R=1 r( IFELSE c( frontIsClear c) i( turnLeft i) ELSE e( turnRight e) r) WHILE c( frontIsClear c) w( move w) m)
5,165.078125,0.375,DEF run m( turnLeft WHILE c( noMarkersPresent c) w( move w) turnRight move WHILE c( not c( markersPresent c) c) w( move w) move m)
6,163.78125,0.75,DEF run m( IFELSE c( rightIsClear c) i( move i) ELSE e( move e) IF c( leftIsClear c) i( turnRight i) WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) m)
7,164.78125,0.625,DEF run m( REPEAT R=7 r( turnLeft WHILE c( frontIsClear c) w( move w) r) m)
8,163.734375,0.75,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) REPEAT R=0 r( move move r) WHILE c( frontIsClear c) w( move w) m)
9,172.515625,0.75,DEF run m( REPEAT R=16 r( WHILE c( frontIsClear c) w( move w) IFELSE c( not c( frontIsClear c) c) i( turnRight i) ELSE e( WHILE c( frontIsClear c) w( move w) e) r) m)
10,167.203125,1.0,DEF run m( WHILE c( frontIsClear c) w( move turnLeft WHILE c( not c( frontIsClear c) c) w( turnRight w) w) m)
11,163.671875,0.5625,DEF run m( REPEAT R=11 r( WHILE c( not c( frontIsClear c) c) w( turnRight w) move r) WHILE c( leftIsClear c) w( turnRight w) m)
12,164.015625,0.75,DEF run m( WHILE c( rightIsClear c) w( move turnRight w) move WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) m)
13,163.84375,0.75,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) WHILE c( frontIsClear c) w( move turnLeft w) m)
14,163.625,0.75,DEF run m( REPEAT R=1 r( move r) WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) m)
15,163.96875,0.625,DEF run m( REPEAT R=7 r( putMarker turnLeft WHILE c( frontIsClear c) w( move w) r) m)
16,164.421875,0.75,DEF run m( WHILE c( not c( markersPresent c) c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) move turnRight m)
17,162.953125,0.625,DEF run m( REPEAT R=7 r( turnRight WHILE c( frontIsClear c) w( move w) r) pickMarker m)
18,163.015625,0.75,DEF run m( REPEAT R=15 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) WHILE c( frontIsClear c) w( move w) r) m)
19,162.375,0.75,DEF run m( REPEAT R=9 r( WHILE c( frontIsClear c) w( move w) turnRight r) m)
20,164.140625,0.625,DEF run m( REPEAT R=11 r( IF c( leftIsClear c) i( turnLeft i) move turnRight r) m)
