Seed:,Runtime:,Reward of Final Program:,Final program:
1,134.745129,0.75,DEF run m( REPEAT R=10 r( WHILE c( frontIsClear c) w( move w) turnRight r) WHILE c( leftIsClear c) w( move w) m)
2,134.535939,0.8125,DEF run m( WHILE c( frontIsClear c) w( move turnLeft WHILE c( not c( frontIsClear c) c) w( putMarker turnRight w) w) m)
3,137.315879,0.75,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) turnRight w) m)
4,134.82576700000004,1.0,DEF run m( WHILE c( noMarkersPresent c) w( REPEAT R=4 r( IFELSE c( frontIsClear c) i( move turnLeft i) ELSE e( turnRight e) r) w) m)
5,136.19305899999995,0.75,DEF run m( REPEAT R=6 r( WHILE c( frontIsClear c) w( move w) turnRight r) m)
6,134.37790900000005,0.75,DEF run m( IFELSE c( rightIsClear c) i( move i) ELSE e( move e) IF c( leftIsClear c) i( turnRight i) WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) m)
7,135.74650600000007,0.75,DEF run m( IF c( leftIsClear c) i( move i) WHILE c( noMarkersPresent c) w( IFELSE c( not c( frontIsClear c) c) i( turnRight i) ELSE e( move e) w) m)
8,136.83152000000007,0.75,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) REPEAT R=0 r( move move r) WHILE c( frontIsClear c) w( move w) m)
9,138.13826999999992,0.75,DEF run m( REPEAT R=16 r( WHILE c( frontIsClear c) w( move w) IFELSE c( not c( frontIsClear c) c) i( turnRight i) ELSE e( WHILE c( frontIsClear c) w( move w) e) r) m)
10,138.22025599999984,1.0,DEF run m( WHILE c( frontIsClear c) w( move turnLeft WHILE c( not c( frontIsClear c) c) w( turnRight w) w) m)
11,136.7728380000001,0.75,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) REPEAT R=5 r( turnLeft r) m)
12,135.86456699999985,1.0,DEF run m( WHILE c( frontIsClear c) w( move turnRight WHILE c( not c( frontIsClear c) c) w( turnLeft w) w) m)
13,136.2296919999999,0.75,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) WHILE c( frontIsClear c) w( move turnLeft w) m)
14,137.03228799999988,0.75,DEF run m( REPEAT R=1 r( move r) WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) m)
15,136.04193199999986,0.75,DEF run m( IF c( noMarkersPresent c) i( REPEAT R=11 r( IFELSE c( leftIsClear c) i( move i) ELSE e( turnRight e) WHILE c( frontIsClear c) w( move w) r) i) m)
16,136.70730099999992,0.75,DEF run m( WHILE c( not c( markersPresent c) c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) move turnRight m)
17,138.14625799999976,0.75,DEF run m( REPEAT R=16 r( WHILE c( frontIsClear c) w( move w) turnRight putMarker r) m)
18,136.60660299999972,1.0,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move turnLeft i) ELSE e( turnRight e) w) m)
19,135.72949000000017,0.75,DEF run m( REPEAT R=9 r( WHILE c( frontIsClear c) w( move w) turnRight r) m)
20,136.31219899999996,1.0,DEF run m( WHILE c( noMarkersPresent c) w( move turnRight WHILE c( not c( frontIsClear c) c) w( turnLeft w) w) turnLeft m)
