Seed:,Runtime:,Reward of Final Program:,Final program:
1,481.09375,1.0,DEF run m( WHILE c( not c( frontIsClear c) c) w( turnLeft move turnRight IF c( noMarkersPresent c) i( move i) w) m)
2,483.21875,1.0,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( rightIsClear c) w( move w) turnLeft move turnRight w) m)
3,482.109375,0.9375,DEF run m( REPEAT R=8 r( WHILE c( not c( frontIsClear c) c) w( turnLeft w) move turnRight r) WHILE c( frontIsClear c) w( move w) m)
4,483.875,1.0,DEF run m( WHILE c( leftIsClear c) w( turnLeft move turnRight move w) m)
5,483.578125,1.0,DEF run m( WHILE c( leftIsClear c) w( turnLeft IFELSE c( not c( frontIsClear c) c) i( move i) ELSE e( move e) WHILE c( rightIsClear c) w( turnRight move w) w) m)
6,483.140625,0.625,DEF run m( turnLeft move turnRight WHILE c( rightIsClear c) w( move w) move turnRight m)
7,482.25,1.0,DEF run m( REPEAT R=7 r( WHILE c( frontIsClear c) w( move w) turnLeft move turnRight r) m)
8,481.671875,1.0,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move turnRight i) ELSE e( turnLeft e) w) m)
9,481.796875,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight WHILE c( frontIsClear c) w( move w) w) m)
10,482.609375,1.0,DEF run m( REPEAT R=7 r( WHILE c( markersPresent c) w( move w) turnLeft move putMarker turnRight r) m)
11,482.78125,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight move w) turnRight m)
12,481.546875,1.0,DEF run m( REPEAT R=9 r( turnLeft move turnRight move r) m)
13,482.8125,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight move w) m)
14,482.890625,0.875,DEF run m( REPEAT R=3 r( turnLeft IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) turnRight move r) m)
15,481.828125,1.0,DEF run m( WHILE c( leftIsClear c) w( turnLeft move putMarker turnRight move w) m)
16,482.3125,0.625,DEF run m( WHILE c( frontIsClear c) w( turnRight move w) turnLeft WHILE c( frontIsClear c) w( move turnRight w) m)
17,483.109375,1.0,DEF run m( REPEAT R=17 r( turnRight IFELSE c( frontIsClear c) i( move putMarker i) ELSE e( IFELSE c( frontIsClear c) i( move turnRight i) ELSE e( putMarker turnRight e) e) r) m)
18,480.1875,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight move w) m)
19,481.1875,1.0,DEF run m( REPEAT R=7 r( turnLeft IFELSE c( frontIsClear c) i( move turnRight i) ELSE e( pickMarker e) IFELSE c( frontIsClear c) i( move i) ELSE e( move e) putMarker r) m)
20,483.46875,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight move w) m)
