Seed:,Runtime:,Reward of Final Program:,Final program:
1,483.0625,1.0,DEF run m( turnLeft move turnRight move REPEAT R=4 r( turnLeft move turnRight move r) turnLeft move putMarker turnRight move turnLeft WHILE c( frontIsClear c) w( putMarker move w) turnLeft move turnRight turnLeft move m)
2,480.1875,1.0,DEF run m( turnRight turnRight turnRight move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move m)
3,480.390625,1.0,DEF run m( WHILE c( frontIsClear c) w( turnLeft w) turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move m)
4,485.859375,1.0,DEF run m( putMarker turnLeft putMarker move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move m)
5,487.546875,1.0,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move m)
6,481.796875,1.0,DEF run m( putMarker REPEAT R=6 r( turnLeft move turnRight move r) m)
7,485.890625,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight move w) WHILE c( noMarkersPresent c) w( putMarker w) move turnRight putMarker m)
8,483.53125,1.0,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft m)
9,482.34375,1.0,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move m)
10,482.65625,1.0,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move m)
11,482.796875,1.0,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move m)
12,481.078125,1.0,DEF run m( turnLeft putMarker move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move m)
13,479.03125,1.0,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move m)
14,480.140625,1.0,DEF run m( turnLeft move WHILE c( rightIsClear c) w( turnRight move turnLeft move w) m)
15,474.25,1.0,DEF run m( REPEAT R=7 r( turnLeft putMarker move turnRight move r) REPEAT R=7 r( turnLeft putMarker move r) turnRight move m)
16,475.984375,1.0,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move m)
17,485.4375,1.0,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move m)
18,483.5625,0.9375,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move m)
19,475.390625,1.0,DEF run m( REPEAT R=7 r( WHILE c( rightIsClear c) w( turnRight move w) REPEAT R=14 r( turnRight r) r) m)
20,481.375,1.0,DEF run m( putMarker turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft m)
