Seed:,Runtime:,Reward of Final Program:,Final program:
1,292.5,1.0,DEF run m( WHILE c( not c( frontIsClear c) c) w( turnLeft move turnRight IF c( noMarkersPresent c) i( move i) w) m)
2,290.703125,1.0,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( rightIsClear c) w( move w) turnLeft move turnRight w) m)
3,289.34375,0.9375,DEF run m( REPEAT R=8 r( WHILE c( not c( frontIsClear c) c) w( turnLeft w) move turnRight r) WHILE c( frontIsClear c) w( move w) m)
4,290.75,1.0,DEF run m( WHILE c( leftIsClear c) w( turnLeft move turnRight move w) m)
5,290.03125,1.0,DEF run m( WHILE c( leftIsClear c) w( turnLeft IFELSE c( not c( frontIsClear c) c) i( move i) ELSE e( move e) WHILE c( rightIsClear c) w( turnRight move w) w) m)
6,290.734375,0.625,DEF run m( turnLeft move turnRight WHILE c( rightIsClear c) w( move w) move turnRight m)
7,289.578125,1.0,DEF run m( REPEAT R=7 r( WHILE c( frontIsClear c) w( move w) turnLeft move turnRight r) m)
8,289.265625,1.0,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move turnRight i) ELSE e( turnLeft e) w) m)
9,288.890625,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight WHILE c( frontIsClear c) w( move w) w) m)
10,289.171875,1.0,DEF run m( REPEAT R=7 r( WHILE c( markersPresent c) w( move w) turnLeft move putMarker turnRight r) m)
11,289.640625,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight move w) turnRight m)
12,289.0,0.625,DEF run m( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft move e) turnRight move turnLeft m)
13,289.640625,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight move w) m)
14,290.515625,0.625,DEF run m( turnLeft move turnRight WHILE c( frontIsClear c) w( move turnRight w) IF c( not c( leftIsClear c) c) i( putMarker turnRight i) m)
15,289.234375,1.0,DEF run m( WHILE c( leftIsClear c) w( turnLeft move putMarker turnRight move w) m)
16,289.25,0.625,DEF run m( WHILE c( frontIsClear c) w( turnRight move w) turnLeft WHILE c( frontIsClear c) w( move turnRight w) m)
17,289.859375,1.0,DEF run m( REPEAT R=17 r( turnRight IFELSE c( frontIsClear c) i( move putMarker i) ELSE e( IFELSE c( frontIsClear c) i( move turnRight i) ELSE e( putMarker turnRight e) e) r) m)
18,288.234375,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight move w) m)
19,288.28125,0.625,DEF run m( IF c( leftIsClear c) i( turnLeft i) move turnRight move putMarker move m)
20,289.5,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight move w) m)
