Seed:,Runtime:,Reward of Final Program:,Final program:
1,179.96875,0.625,DEF run m( turnLeft move WHILE c( noMarkersPresent c) w( turnRight move w) m)
2,180.546875,0.625,DEF run m( IF c( frontIsClear c) i( move i) turnLeft WHILE c( noMarkersPresent c) w( move turnRight w) m)
3,179.046875,0.625,DEF run m( turnLeft move turnRight IF c( frontIsClear c) i( move pickMarker i) m)
4,179.453125,0.625,DEF run m( turnLeft move IF c( noMarkersPresent c) i( turnRight i) move move turnRight m)
5,181.625,0.625,DEF run m( REPEAT R=0 r( move r) turnLeft WHILE c( noMarkersPresent c) w( move turnRight w) m)
6,178.859375,0.625,DEF run m( turnLeft move turnRight WHILE c( rightIsClear c) w( move w) move turnRight m)
7,181.0,0.625,DEF run m( turnLeft move turnRight IF c( rightIsClear c) i( move i) pickMarker m)
8,182.09375,0.8125,DEF run m( REPEAT R=3 r( WHILE c( frontIsClear c) w( move w) turnLeft move turnRight r) m)
9,180.0,0.625,DEF run m( turnLeft WHILE c( frontIsClear c) w( move turnRight w) m)
10,179.796875,0.625,DEF run m( turnLeft move turnRight move turnLeft m)
11,179.640625,0.625,DEF run m( turnLeft move turnRight putMarker move turnLeft m)
12,182.875,0.625,DEF run m( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft move e) turnRight move turnLeft m)
13,191.53125,0.625,DEF run m( WHILE c( rightIsClear c) w( move w) IF c( markersPresent c) i( turnRight i) turnLeft move turnRight move m)
14,189.015625,0.625,DEF run m( turnLeft move turnRight WHILE c( frontIsClear c) w( move turnRight w) IF c( not c( leftIsClear c) c) i( putMarker turnRight i) m)
15,188.375,0.625,DEF run m( turnLeft move turnRight WHILE c( frontIsClear c) w( move move w) m)
16,188.1875,0.625,DEF run m( WHILE c( frontIsClear c) w( turnRight move w) turnLeft WHILE c( frontIsClear c) w( move turnRight w) m)
17,188.625,0.625,DEF run m( IFELSE c( rightIsClear c) i( move pickMarker i) ELSE e( turnLeft e) move turnRight WHILE c( rightIsClear c) w( move w) m)
18,186.203125,0.625,DEF run m( turnLeft move turnRight IF c( frontIsClear c) i( move i) m)
19,186.515625,0.625,DEF run m( IF c( leftIsClear c) i( turnLeft i) move turnRight move putMarker move m)
20,188.09375,0.625,DEF run m( IFELSE c( frontIsClear c) i( turnRight i) ELSE e( turnLeft e) move turnRight move m)
